Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,Microsoft.AspNetCore.Components.Authorization 9.0.3,,,,,"Microsoft.AspNetCore.Components.Authorization, 9.0.3  Recomendación:  Remove Microsoft.AspNetCore.Components.Authorization, and replace with new package Microsoft.AspNetCore.Components.Authorization 10.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 9.0.3,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 9.0.3  Recomendación:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 9.0.3,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 9.0.3  Recomendación:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.3"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,Blazored.SessionStorage 2.4.0,,,,,"Blazored.SessionStorage, 2.4.0  Recomendación:  Debe reemplazarse. Remove Blazored.SessionStorage, and replace with new package Blazored.SessionStorage, 2.4.0"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,,,,,,,,Marco de destino actual: net9.0 Marco de destino recomendado: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/RegistroProcesos_razor.g.cs,2014,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_refreshTimer = new System.Threading.Timer(async _ =>          {              await InvokeAsync(async () =>              {                  await RefreshData();                  StateHasChanged();              });          }, null, TimeSpan.FromSeconds(30), TimeSpan.FromSeconds(30));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/RegistroProcesos_razor.g.cs,2014,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_refreshTimer = new System.Threading.Timer(async _ =>          {              await InvokeAsync(async () =>              {                  await RefreshData();                  StateHasChanged();              });          }, null, TimeSpan.FromSeconds(30), TimeSpan.FromSeconds(30));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/InicioSesion_razor.g.cs,493,16,T:System.Net.Http.HttpContent,,,,,var errorResult = await loginResponse.Content.ReadFromJsonAsync<ErrorResponse>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/InicioSesion_razor.g.cs,486,16,T:System.Net.Http.HttpContent,,,,,var sesionUsuario = await loginResponse.Content.ReadFromJsonAsync<InicioSesionDTO>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,S_Blazor_TDApp.Client\S_Blazor_TDApp.Client.csproj,File,S_Blazor_TDApp.Client\Services\Implementation\TareaDiasService.cs,72,12,T:System.Net.Http.HttpContent,,,,,"var response = await httpResponse.Content.ReadFromJsonAsync<ResponseAPI<int>>()                  ?? throw new Exception(""No se recibió respuesta del servidor."");"
